model,val_true_last,val_last_input,val_pred_last,val_true_ret,val_pred_ret,val_true_dir,val_pred_dir,val_hit_direction,current_next_pred
ElasticNet,5368.0,5369.5,5369.340295817776,-1.5,-0.15970418222423177,-1,-1,1,5368.72189132486
KNN,5368.0,5369.5,5361.5244,-1.5,-7.975599999999758,-1,-1,1,5360.1
RandomForest,5368.0,5369.5,5363.866979999994,-1.5,-5.633020000005672,-1,-1,1,5363.266323333332
HistGBDT,5368.0,5369.5,5369.528807168737,-1.5,0.028807168737330358,-1,1,0,5369.528807168737
Lasso,5368.0,5369.5,5369.859777809502,-1.5,0.35977780950179294,-1,1,0,5368.298247965815
LinearRegression,5368.0,5369.5,5369.922736255948,-1.5,0.42273625594771147,-1,1,0,5368.301204422535
Ridge,5368.0,5369.5,5369.786069105741,-1.5,0.2860691057412623,-1,1,0,5368.45159692248
SVR,5368.0,5369.5,5396.8067985194775,-1.5,27.306798519477525,-1,1,0,5396.274845756422
